Date, Close/Last, Volume, Open, High, Low
8/7/2019,$157.63 ,1118925,$153.68 ,$158.55 ,$152.84 
8/6/2019,$154.32 ,1210204,$154.77 ,$155.82 ,$152.75 
8/5/2019,$155.03 ,1505106,$156.43 ,$157.34 ,$153.66 
8/2/2019,$156.90 ,1321361,$156.11 ,$158.87 ,$156.11 
8/1/2019,$156.14 ,2801593,$153.70 ,$158.28 ,$152.69 
7/31/2019,$162.60 ,1485459,$164.91 ,$166.14 ,$161.24 
7/30/2019,$165.17 ,1019831,$164.96 ,$166.32 ,$164.29 
7/29/2019,$165.37 ,1033120,$165.56 ,$166.90 ,$164.28 
7/26/2019,$166.33 ,793033,$164.69 ,$166.43 ,$162.62 
7/25/2019,$163.55 ,794857,$162.69 ,$164.68 ,$162.38 
7/24/2019,$163.59 ,957353,$164.50 ,$164.85 ,$163.25 
7/23/2019,$164.40 ,1243710,$162.85 ,$164.47 ,$162.02 
7/22/2019,$161.59 ,767965,$161.94 ,$162.23 ,$159.96 
7/19/2019,$161.86 ,904438,$162 ,$163.54 ,$161.42 
7/18/2019,$162.05 ,925513,$159.55 ,$162.11 ,$158.40 
7/17/2019,$159.58 ,641478,$159.68 ,$160.30 ,$158.93 
7/16/2019,$159.94 ,943044,$159.01 ,$160.95 ,$158.53 
7/15/2019,$158.53 ,1072465,$157.64 ,$159.05 ,$157.36 
7/12/2019,$158.06 ,745778,$155.70 ,$158.20 ,$155.47 
7/11/2019,$155.24 ,578615,$154.69 ,$155.26 ,$153.79 
7/10/2019,$154.51 ,874214,$155.26 ,$155.88 ,$153.85 
7/9/2019,$155.45 ,700994,$156.43 ,$156.77 ,$153.74 
7/8/2019,$156.88 ,523938,$156.14 ,$157.14 ,$155.82 
7/5/2019,$155.77 ,616202,$156.05 ,$156.83 ,$153.43 
7/3/2019,$156.95 ,732944,$154.77 ,$157.75 ,$154.38 
7/2/2019,$154.16 ,745032,$152.74 ,$154.54 ,$152.74 
7/1/2019,$152.80 ,1146157,$153.77 ,$154.35 ,$151.30 
6/28/2019,$153.11 ,1228773,$152.49 ,$154.27 ,$152.12 
6/27/2019,$152.27 ,554236,$151.28 ,$153.16 ,$150.97 
6/26/2019,$151.65 ,791529,$154.86 ,$155.39 ,$151.46 
6/25/2019,$155.77 ,572720,$154.74 ,$156.40 ,$154.52 
6/24/2019,$155.21 ,589365,$155.50 ,$156 ,$154.49 
6/21/2019,$154.92 ,1226522,$154.85 ,$155.28 ,$153.58 
6/20/2019,$154.58 ,1034545,$153.08 ,$154.86 ,$152.51 
6/19/2019,$153.08 ,826619,$153.35 ,$153.77 ,$151.82 
6/18/2019,$153.64 ,766050,$155.31 ,$155.56 ,$152.50 
6/17/2019,$154.82 ,786740,$157.22 ,$157.30 ,$154.21 
6/14/2019,$156.88 ,697097,$156.20 ,$157.30 ,$155.13 
6/13/2019,$155.98 ,1034804,$157.41 ,$157.85 ,$154.60 
6/12/2019,$156.92 ,751942,$156.74 ,$157.85 ,$156.50 
6/11/2019,$156.13 ,776407,$156.22 ,$157.12 ,$155.57 
6/10/2019,$156.79 ,644170,$156.53 ,$157.12 ,$155.10 
6/7/2019,$156.63 ,1408142,$159.53 ,$160.49 ,$156.19 
6/6/2019,$158.96 ,1164179,$155.72 ,$159.58 ,$155.46 
6/5/2019,$155.40 ,989678,$153.55 ,$155.54 ,$152.48 
6/4/2019,$152.80 ,926438,$152.96 ,$153.71 ,$151.59 
6/3/2019,$152.58 ,1123237,$148.91 ,$152.95 ,$147.32 
5/31/2019,$148.81 ,914566,$149.40 ,$149.63 ,$148.21 
5/30/2019,$149.64 ,1148078,$147.14 ,$150 ,$147.14 
5/29/2019,$147.40 ,1285761,$146.01 ,$147.54 ,$144.59 
5/28/2019,$146.83 ,1591989,$149.46 ,$150.84 ,$146.69 
5/24/2019,$149.63 ,728733,$151.33 ,$151.99 ,$149.54 
5/23/2019,$150.88 ,988558,$150.32 ,$151.09 ,$148.93 
5/22/2019,$150.60 ,1074205,$148.20 ,$150.98 ,$147.50 
5/21/2019,$148.18 ,1062122,$147.69 ,$149.22 ,$147.12 
5/20/2019,$146.72 ,1067341,$145.50 ,$147.71 ,$145.25 
5/17/2019,$147.05 ,1117620,$148.02 ,$148.30 ,$146.77 
5/16/2019,$148.72 ,714435,$148.57 ,$149.82 ,$148.02 
5/15/2019,$148.32 ,685560,$147.38 ,$149.22 ,$147.38 
5/14/2019,$147.23 ,870581,$148.31 ,$149.42 ,$147.14 
5/13/2019,$149.14 ,951684,$147.08 ,$149.68 ,$147.08 
5/10/2019,$148.19 ,896266,$146.37 ,$148.39 ,$145.59 
5/9/2019,$146.96 ,1074895,$148.82 ,$149.07 ,$146.57 
5/8/2019,$148.82 ,970169,$148.62 ,$150.09 ,$147.29 
5/7/2019,$148.46 ,844739,$148 ,$148.89 ,$147.09 
5/6/2019,$148.25 ,1305413,$148.22 ,$149.86 ,$147.02 
5/3/2019,$148.18 ,1169604,$148.96 ,$148.98 ,$147.50 
5/2/2019,$148.74 ,2018600,$148.10 ,$149.14 ,$145.65 
5/1/2019,$148.16 ,4161989,$153.59 ,$154.38 ,$148.11 
4/30/2019,$159.73 ,2433761,$155.83 ,$159.81 ,$155.01 
4/29/2019,$156.38 ,1089296,$157.06 ,$157.56 ,$155.51 
4/26/2019,$157.56 ,1213259,$155.82 ,$157.76 ,$155.14 
4/25/2019,$155.09 ,916595,$153.59 ,$155.66 ,$153.12 
4/24/2019,$154.22 ,950528,$153.80 ,$154.97 ,$153.17 
4/23/2019,$153.53 ,1087427,$153.40 ,$153.99 ,$151.92 
4/22/2019,$154.51 ,1041048,$154.46 ,$154.89 ,$153.32 
4/18/2019,$153.48 ,653628,$153.68 ,$154.35 ,$152.78 
4/17/2019,$153.01 ,705629,$152.69 ,$153.28 ,$151.94 
4/16/2019,$152.34 ,1084800,$154.87 ,$155.37 ,$151.31 
4/15/2019,$154.45 ,772492,$155.03 ,$155.39 ,$153.70 
4/12/2019,$155.49 ,919409,$155.52 ,$156.50 ,$154.69 
4/11/2019,$155.33 ,955699,$154.80 ,$155.64 ,$153.70 
4/10/2019,$153.79 ,965012,$152.64 ,$153.96 ,$152.39 
